software	hardware
0.610176	0.02
0.58904	0.02
0.566846	0.02
0.543937	0.02
0.520376	0.02
0.495835	0.02
0.470286	0.02
0.443733	0.02
0.416179	0.02
0.387626	0.02
0.358076	0.02
0.327533	0.02
0.295999	0
0.263476	-0.02
0.229968	-0.02
0.195476	-0.02
0.160005	-0.02
0.123555	-0.02
0.08613	-0.02
0.047732	-0.02
0.008365	-0.02
0	-0.02
0.028151	-0.02
0.055312	-0.02
0.081484	-0.02
0.10667	-0.02
0.13087	-0.03
0.154086	-0.15
0.176321	-0.47
0.197576	-0.48
0.217853	-0.46
0.237153	-0.44
0.255478	-0.44
0.272831	-0.44
0.289212	-0.44
0.304623	-0.44
0.319067	-0.44
0.332536	-0.44
0.344928	-0.44
0.356204	-0.44
0.366367	-0.44
0.375416	-0.37
0.38335	-0.08
0.390169	0.01
0.395952	0.01
0.400805	0.01
0.404734	0.02
0.407739	0.04
0.409822	0.16
0.410986	0.26
0.411232	0.29
0.410562	0.24
0.408977	0.22
0.40648	0.09
0.403071	0.06
0.398754	0.01
0.393528	0
0.387397	0
0.380362	0
0.372419	0
0.363498	0
0.353585	0
0.342681	0
0.330786	0
0.317931	0
0.304174	0
0.289513	0
0.273942	0
0.257456	0
0.24005	0
0.221718	0
0.202435	0
0.182132	0.01
0.160808	0.01
0.138704	0.01
0.116029	0.01
0.092378	0.01
0.067718	0.01
0.042052	0.01
0.015382	0.01
0	0.01
0.019393	0.01
0.03781	0.01
0.055255	0.01
0.071727	0.01
0.087222	0.01
0.101632	0.01
0.114927	-0.01
0.127106	-0.01
0.138169	-0.01
0.148117	-0.01
0.156948	-0.01
0.164731	-0.01
0.171579	-0.01
0.177498	-0.01
0.182489	-0.01
0.186555	-0.01
0.189697	-0.01
0.191917	-0.01
0.193218	-0.01
0.193599	-0.01
0.193064	-0.03
0.191614	-0.17
0.189251	-0.47
0.185977	-0.47
0.181792	-0.46
0.1767	-0.44
0.170702	-0.44
0.163799	-0.44
0.155971	-0.44
0.147154	-0.44
0.137345	-0.44
0.126544	-0.44
0.114752	-0.44
0.101968	-0.44
0.08822	-0.44
0.073568	-0.44
0.058012	-0.33
0.041546	-0.05
0.024165	0.01
0.00583	0.01
0	0.02
0.012548	0.05
0.023979	0.2
0.034293	0.47
0.043503	0.53
0.051749	0.48
0.059063	0.43
0.065447	0.42
0.070902	0.23
0.075432	0.2
0.079036	0
0.081718	0
0.083478	0
0.084319	0
0.084243	0
0.08325	0
0.081344	0
0.078525	0
0.074795	0
0.070157	0
0.064611	0
0.05816	0
0.050798	0
0.042458	0
0.033124	0
0.022797	0.02
0.011479	0.02
0	0.01
0.007192	0.01
0.013455	0.01
0.01879	0.01
0.023198	0.01
0.026682	0.01
0.029243	0.01
0.030883	0.01
0.031604	0.01
0.031408	0.01
0.030295	0.01
0.028269	0.01
0.025331	0.01
0.021482	0.01
0.016724	0.01
0.011059	-0.02
0.00449	-0.02
0	-0.02
0.004126	-0.02
0.007329	-0.02
0.009609	-0.02
0.010968	-0.02
0.01141	-0.02
0.010934	-0.02
0.009542	-0.02
0.007238	-0.02
0.004022	-0.02
0	-0.02
0.001787	-0.02
0.002655	-0.04
0.002604	-0.45
0.001638	-0.48
0	-0.47
0.000218	-0.44
0	-0.44
0	-0.44
0	-0.44
0	-0.44
0	-0.44
0	-0.44
0	-0.44
0	-0.44
0	-0.44
0	-0.44
0	-0.44
0	-0.22
0	0
0	0.01
0	0.01
0	0.01
0	0.03
0	0.05
0	0.22
0	0.29
0	0.31
0	0.25
0	0.13
0	0.03
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0.01
0	0.01
0	0.01
0	0.01
0	0.01
0	0.01
0	0.01
0	0.01
0	0.01
0	0.01
0	0.01
0	0.01
0	0.01
0	0.01
0	-0.01
0	-0.01
0	-0.01
0	-0.01
0	-0.01
0	-0.01
0	-0.01
0	-0.01
0	-0.01
0	-0.01
0	-0.01
0	-0.01
0	-0.01
0	-0.02
0	-0.04
0	-0.16
0	-0.47
0	-0.47
0	-0.44
0	-0.44
0	-0.44
0	-0.44
0	-0.44
0	-0.44
0	-0.44
0	-0.44
0	-0.44
0	-0.44
0	-0.44
0	-0.44
0	-0.33
0	-0.05
0	0.01
0	0.01
0	0.01
0	0.02
0	0.05
0	0.21
0	0.45
0	0.49
0	0.51
0	0.49
0	0.41
0	0.36
0	0.22
0	0.2
0	0.17
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0.01
0	0.02
0	0.01
0	0.01
0	0.01
0	0.01
0	0.01
0	0.01
0	0.01
